"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2010";"Mortalidade infantil 2010";"Taxa de analfabetismo - 15 anos ou mais 2010";"% de pobres 2010";"% de vulneráveis à pobreza 2010"
"Milton Brandão";"PI";2206357;71,29;24;37,21;62,15;79,17
"Monsenhor Gil";"PI";2206407;71,87;22,4;24,74;36,39;63,55
"Monsenhor Hipólito";"PI";2206506;69,36;29,8;34,83;38,61;57,92
"Monte Alegre do Piauí";"PI";2206605;71,1;24,6;23,7;53,45;76,51
"Morro Cabeça no Tempo";"PI";2206654;71,46;23,6;25,1;60,65;83,91
"Morro do Chapéu do Piauí";"PI";2206670;69,5;29,4;35,48;46,31;70,26
"Murici dos Portelas";"PI";2206696;71,61;23,1;39,4;59,32;85,17
"Nazaré do Piauí";"PI";2206704;67,41;36,5;31,15;50,25;68,33
"Nazária";"PI";2206720;71,78;22,6;30,57;43,64;70,66
"Nossa Senhora de Nazaré";"PI";2206753;71,8;22,6;25,7;39,82;67,78
"Nossa Senhora dos Remédios";"PI";2206803;68,92;31,3;36,04;54,02;76,83
